"year","recrlo","recr","recrhi","tsblo","tsb","tsbhi","ssblo","ssb","ssbhi","catch","lan","dis","ibc","ur","yssb","flo","f","fhi"
2012,134124.472684667,143395.828812524,152667.184940382,53326.5647020638,55121.94687865,56917.3290552361,39347.2348288219,40872.7780425342,42398.3212562465,18137.034887598,14433.3430456614,3703.69184193662,NA,NA,NA,0.363724475612001,0.39118175,0.418639024387998
2013,137423.226661312,147055.998961732,156688.771262152,58211.1891653785,60155.2815378525,62099.3739103265,40665.9932438007,42290.5864928105,43915.1797418202,20909.7764915858,16024.5453954206,4885.23109616522,NA,NA,NA,0.453138447674188,0.48468775,0.516237052325812
2014,125742.211492332,134691.25364686,143640.295801388,63357.7151163814,65386.5729183606,67415.4307203399,45330.7281957561,47062.1138203419,48793.4994449276,15846.1621594929,13277.369,2568.79315949287,NA,NA,NA,0.325640526816738,0.350389,0.375137473183262
2015,139436.223203768,150045.043921794,160653.864639819,55363.7209874048,57164.4743258643,58965.2276643238,37993.8028942847,39432.5867761218,40871.3706579589,13075.72368,10682.34385,2393.37983,NA,NA,NA,0.275971033104764,0.2987005,0.321429966895236
2016,168095.0887277,181658.737472133,195222.386216565,63251.000496623,65398.4241683102,67545.8478399974,42040.6279881385,43675.993818741,45311.3596493436,14862.92199,11547.78002,3315.14197,NA,NA,NA,0.313403473821786,0.33764675,0.361890026178214
2017,206841.874446863,226286.369330766,245730.864214669,66273.5260479826,68736.2760433035,71199.0260386243,38296.1312009004,39809.8414270628,41323.5516532252,17302.68198,13784.43807,3518.24391,NA,NA,NA,0.355818391711001,0.38380775,0.411797108288999
2018,222001.935671933,246877.567944525,271753.200217117,96910.9686131763,101195.171321765,105479.374030353,47905.775800212,49919.1689921627,51932.5621841135,15562.05413,12147.16253,3414.8916,NA,NA,NA,0.288856758518859,0.312565,0.336273241481141
2019,227622.42695931,260206.703237077,292790.979514844,109018.930800366,114812.74655008,120606.562299794,52257.4599117559,54743.8468832799,57230.2338548039,14129.64963,12163.64628,1966.00335,NA,NA,NA,0.229773853892813,0.25065,0.271526146107187
2020,161027.486416726,192651.153968863,224274.821521,107254.076550222,113744.476283162,120234.876016101,61049.4696434092,64562.0248602338,68074.5800770585,13625.883850056,11141.01419,2484.86966005605,NA,NA,NA,0.18867367046493,0.20756975,0.22646582953507
2021,166686.597105007,213694.155814531,260701.714524055,106930.217810587,114433.192853368,121936.167896149,67508.6389611574,72086.1471980598,76663.6554349621,15020.37757,12417.52322,2602.85435,NA,NA,NA,0.205054555478858,0.22865825,0.252261944521142
2022,91895.1426025857,140646.784737096,189398.426871607,117830.62869457,128166.003359512,138501.378024454,79451.1569298779,86223.6518475665,92996.1467652551,13160.544,10820.744,2339.8,NA,NA,NA,0.132310061384611,0.149564075,0.166818088615389
2023,NA,217.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195264025,NA
